dst_dock,dst_mkt,dst_tower,dst_river,dining_rooms,bedrooms,bathrooms,king_visit,curse,king_blessing,locations,builder,price,house_age,build_year,priced_year
138.600639,69.486467,14.394903,63.109038,3.0,4.0,3.0,0,0.0,160,0,0,1470912.0,2636.0,0.0,0.0
10.998322,63.794375,53.019891,17.045949,4.0,3.0,3.0,0,0.0,37,1,0,1052137.0,2919.0,1.0,1.0
52.819705000000006,96.656914,70.965631,6.548119,2.0,2.0,3.0,0,0.0,79,2,0,1017577.0,2617.0,1.0,2.0
82.283966,29.043012,119.126593,24.298254999999997,,2.0,3.0,0,1.0,156,2,0,1409057.0,520.0,2.0,3.0
34.524141,6.740951,222.341302,1.821655,4.0,2.0,4.0,0,0.0,74,1,0,1317434.0,2808.0,1.0,1.0
38.877415,,76.196189,1.2577209999999999,3.0,3.0,3.0,0,0.0,135,3,0,1333643.0,3657.0,3.0,1.0
35.988844,67.579542,157.877738,15.756025,2.0,3.0,4.0,0,0.0,155,1,0,1462503.0,1742.0,2.0,2.0
83.914728,57.067604,147.898157,55.592034,2.0,4.0,4.0,0,1.0,53,1,0,930118.0,1512.0,2.0,1.0
64.28828299999999,,204.669501,60.009117,2.0,4.0,3.0,0,0.0,58,1,0,1014617.0,1821.0,0.0,4.0
59.504656000000004,3.3669599999999997,63.397907,21.391704,4.0,3.0,3.0,0,0.0,130,0,0,1574362.0,990.0,4.0,3.0
74.89045300000002,,86.880636,77.993602,,4.0,3.0,0,0.0,142,0,0,1408207.0,2391.0,5.0,2.0
1.624838,,163.885,16.102894,,4.0,4.0,0,1.0,105,0,0,1294734.0,3096.0,1.0,1.0
13.14006,7.3630830000000005,154.780872,15.867466,3.0,4.0,2.0,0,0.0,136,0,0,1525016.0,2364.0,3.0,3.0
25.738221,31.8348,84.042989,7.1067009999999975,4.0,3.0,4.0,1,0.0,93,0,0,1382287.0,695.0,2.0,3.0
86.072564,85.563521,146.862456,12.638273,2.0,2.0,3.0,0,1.0,74,2,0,913124.0,1490.0,5.0,3.0
51.245385999999996,9.938782000000002,96.415385,5.789836,,,3.0,0,0.0,138,4,0,1397904.0,1898.0,0.0,4.0
34.410733,,50.512115,15.00942,2.0,4.0,4.0,0,1.0,143,1,0,1501970.0,1038.0,2.0,0.0
67.171839,22.279648,104.567561,43.619873999999996,3.0,2.0,3.0,1,0.0,86,1,0,1071513.0,2463.0,0.0,0.0
61.21246,5.643314,160.459915,41.915869,2.0,4.0,2.0,0,0.0,101,1,0,1299089.0,996.0,2.0,0.0
8.423696000000001,31.432315999999997,10.970801,21.169757999999998,2.0,3.0,2.0,0,0.0,157,1,0,1524907.0,2778.0,1.0,2.0
,34.978795,91.361455,41.862843,3.0,2.0,4.0,0,0.0,133,1,0,1301197.0,2473.0,5.0,1.0
57.7146,47.348836999999996,32.106155,2.87067,4.0,3.0,4.0,0,0.0,154,1,0,1547380.0,2102.0,3.0,4.0
15.523291,32.174217,,33.493852000000004,,4.0,4.0,0,1.0,7,0,0,971218.0,1595.0,1.0,4.0
,124.305272,30.021296999999997,15.976977,3.0,2.0,4.0,0,0.0,151,2,0,1298829.0,3384.0,1.0,5.0
42.570615000000004,,129.093289,69.237309,2.0,2.0,3.0,0,0.0,155,3,0,1307814.0,3529.0,1.0,5.0
24.68436,,81.939551,56.170727,2.0,3.0,4.0,0,0.0,151,1,0,1497142.0,513.0,2.0,3.0
71.753065,,18.206663,4.0479910000000014,4.0,2.0,2.0,0,0.0,120,1,0,1296271.0,4136.0,6.0,5.0
22.060342000000002,8.102772,146.85200700000001,4.032337,2.0,4.0,2.0,0,0.0,144,4,0,1552937.0,811.0,2.0,3.0
