House ID,Golden Grains
6e33d031,1188608.7
6e33d037,1439882.9
6e33d03d,1518660.3
6e33d043,1391312.5
6e33d045,1357431.4
6e33d049,1328688.5
6e33d04d,1346852.6
6e33d051,1214343.4
6e33d053,1209398.4
6e33d055,1202658.1
6e33d05b,1210974.8
6e33d05f,1071817.9
6e33d062,1420318.3
6e33d065,1549950.6
6e33d067,1348578.7
6e33d06b,1369491.9
6e33d071,1454895.4
6e33d075,1183410.6
6e33d07a,1363251.5
6e33d080,1082802.2
6e33d083,1335462.9
6e33d089,1231341.8
6e33d08b,1455035.8
6e33d08e,1208887.6
6e33d090,1269916.9
6e33d095,1475066.0
6e33d098,1241485.9
6e33d09a,1084617.0
6e33d09d,1396730.4
6e33d0a0,1310554.0
6e33d0a5,1037085.6
6e33d0a8,1374722.8
6e33d0ac,1396227.1
6e33d0b1,1390310.1
6e33d0b5,1273807.6
6e33d0ba,1418274.7
6e33d0bc,1229160.7
6e33d0c2,1346010.6
6e33d0c6,1207653.3
6e33d0cc,1500163.8
6e33d0d1,1357268.5
6e33d0d3,1459208.6
6e33d0d5,1412042.5
6e33d0d7,916594.3
6e33d0dc,1533357.4
6e33d0e0,1216889.1
6e33d0e2,1378208.1
6e33d0e4,1389479.4
6e33d0e6,1321342.2
6e33d0ea,1185921.8
6e33d0ee,1438890.5
6e33d0f4,1229573.1
6e33d0f8,1273534.8
6e33d0fd,1482173.1
6e33d100,1233719.7
6e33d103,1230081.1
6e33d108,1203148.9
6e33d10b,1408898.9
6e33d110,1130534.3
6e33d112,1105500.8
6e33d117,1468987.9
6e33d11c,1468633.3
6e33d122,1301739.3
6e33d127,1098458.1
6e33d12c,1321052.4
6e33d130,1271853.5
6e33d136,1480218.1
6e33d13a,1433427.5
6e33d13e,1401694.6
6e33d141,1298892.0
6e33d147,1384324.6
6e33d14b,1497945.7
6e33d14e,1012894.9
6e33d151,1006841.8
6e33d154,1269328.2
6e33d159,1394186.8
6e33d15f,1403911.5
6e33d162,1331415.3
6e33d168,1294225.0
6e33d16d,1083937.9
6e33d16f,1401941.2
6e33d172,1453486.2
6e33d175,1298079.7
6e33d17b,915599.9
6e33d181,1392095.7
6e33d184,1386709.3
6e33d186,1267191.2
6e33d18b,1414451.9
6e33d191,1279896.1
6e33d193,1398854.8
6e33d197,1427073.0
6e33d19b,1490331.1
6e33d19f,1387183.7
6e33d1a3,1292972.3
6e33d1a7,1207179.0
6e33d1ad,1282994.1
6e33d1b1,1350921.3
6e33d1b5,1365176.0
6e33d1b9,1238705.3
