House ID,Golden Grains
6e33d031,1204459.1
6e33d037,1450417.0
6e33d03d,1532623.2
6e33d043,1372797.5
6e33d045,1386587.0
6e33d049,1302467.8
6e33d04d,1402433.9
6e33d051,1178493.0
6e33d053,1238158.5
6e33d055,1224611.1
6e33d05b,1239639.9
6e33d05f,1059988.9
6e33d062,1419644.4
6e33d065,1536931.1
6e33d067,1386459.1
6e33d06b,1349645.9
6e33d071,1439073.0
6e33d075,1166197.2
6e33d07a,1352215.1
6e33d080,1100587.1
6e33d083,1292741.0
6e33d089,1233715.7
6e33d08b,1445421.6
6e33d08e,1126881.8
6e33d090,1297929.4
6e33d095,1482897.1
6e33d098,1160596.1
6e33d09a,1081123.5
6e33d09d,1390939.4
6e33d0a0,1332650.3
6e33d0a5,1004893.4
6e33d0a8,1360365.0
6e33d0ac,1385645.1
6e33d0b1,1444730.6
6e33d0b5,1283190.9
6e33d0ba,1423532.5
6e33d0bc,1225164.9
6e33d0c2,1378611.6
6e33d0c6,1242605.3
6e33d0cc,1495171.4
6e33d0d1,1391843.6
6e33d0d3,1463039.6
6e33d0d5,1377386.3
6e33d0d7,892363.9
6e33d0dc,1541587.5
6e33d0e0,1170788.1
6e33d0e2,1336920.6
6e33d0e4,1383947.2
6e33d0e6,1321580.7
6e33d0ea,1187481.0
6e33d0ee,1424089.8
6e33d0f4,1301033.4
6e33d0f8,1269315.3
6e33d0fd,1491472.7
6e33d100,1249135.8
6e33d103,1207874.0
6e33d108,1196709.3
6e33d10b,1429005.1
6e33d110,1144718.7
6e33d112,1126120.2
6e33d117,1465735.4
6e33d11c,1510996.4
6e33d122,1276237.3
6e33d127,1097831.7
6e33d12c,1313818.5
6e33d130,1257352.8
6e33d136,1461712.8
6e33d13a,1420909.8
6e33d13e,1444819.1
6e33d141,1270781.7
6e33d147,1328365.8
6e33d14b,1495569.2
6e33d14e,978262.0
6e33d151,1004885.8
6e33d154,1329508.7
6e33d159,1363789.3
6e33d15f,1398330.9
6e33d162,1375075.6
6e33d168,1324374.2
6e33d16d,1103847.7
6e33d16f,1419868.4
6e33d172,1431214.1
6e33d175,1320234.9
6e33d17b,857889.8
6e33d181,1389438.1
6e33d184,1398793.6
6e33d186,1298303.2
6e33d18b,1458561.4
6e33d191,1285708.0
6e33d193,1419245.1
6e33d197,1458815.1
6e33d19b,1509199.0
6e33d19f,1358763.3
6e33d1a3,1301870.2
6e33d1a7,1294195.2
6e33d1ad,1272141.7
6e33d1b1,1372175.5
6e33d1b5,1413031.2
6e33d1b9,1254685.2
6e33d1bb,1303029.2
6e33d1bf,1201652.6
6e33d1c4,1442896.2
6e33d1c7,1456415.6
6e33d1cb,1475065.3
6e33d1cd,1288371.6
6e33d1d3,1343373.9
6e33d1d9,1409621.9
6e33d1dd,1248066.7
6e33d1e1,1473379.3
6e33d1e3,989127.9
6e33d1e8,1339676.9
6e33d1ec,1207031.5
6e33d1f2,1372725.6
6e33d1f6,1262539.6
6e33d1fa,1262645.4
6e33d1ff,1420472.9
6e33d205,1087994.5
6e33d207,1254868.3
6e33d209,1496190.5
6e33d20e,1369273.7
6e33d210,1225553.9
6e33d216,1076833.0
6e33d219,1133772.5
6e33d21d,1146678.7
6e33d221,1195823.4
6e33d227,1395326.7
6e33d22a,1250950.4
6e33d22e,1309418.8
6e33d230,1146622.9
6e33d234,1436342.0
6e33d239,918151.5
6e33d23e,1354332.0
6e33d241,1224100.1
6e33d244,1407846.0
6e33d247,1317486.2
6e33d24b,1366844.6
6e33d251,1120964.9
6e33d253,1297768.6
6e33d256,1114895.4
6e33d25c,1384794.2
6e33d25f,1404518.4
6e33d262,1168225.6
6e33d266,1307436.0
6e33d26b,1356580.7
6e33d26d,1477910.4
6e33d26f,1453920.4
6e33d274,1325951.8
6e33d278,1187595.6
6e33d27e,965377.1
6e33d281,1374769.1
6e33d286,1309679.9
6e33d28a,1437167.3
6e33d28e,1419067.7
6e33d293,1342709.7
6e33d298,1544220.2
6e33d29a,1420755.0
6e33d29c,1088230.4
6e33d29e,1144536.9
6e33d2a1,1433780.9
6e33d2a5,983430.3
6e33d2ab,1269661.0
6e33d2b1,1297079.3
6e33d2b6,1546986.9
6e33d2bc,1325820.7
6e33d2c0,1396106.6
6e33d2c4,1226909.7
6e33d2c6,1074397.9
6e33d2cb,1408674.8
6e33d2d0,1247819.4
6e33d2d5,1198256.5
6e33d2db,1404503.8
6e33d2e1,1294369.0
6e33d2e7,937748.8
6e33d2ea,1029565.3
6e33d2ec,1297260.3
6e33d2f2,1375638.5
6e33d2f4,1525389.3
6e33d2fa,1206708.5
6e33d2fe,1236691.9
6e33d303,1405268.7
6e33d309,1244577.4
6e33d30f,1244502.7
6e33d312,1409232.3
6e33d314,1236251.8
6e33d31a,1015038.8
6e33d31e,1186867.6
6e33d320,1152842.0
6e33d326,1296567.6
6e33d329,1475055.8
6e33d32f,1170072.2
6e33d333,1545137.6
6e33d339,1462757.5
6e33d33e,1428219.6
6e33d340,1190235.6
6e33d344,1318298.0
6e33d34a,1045308.4
6e33d34f,1431685.8
6e33d353,1142677.5
6e33d359,1130322.9
6e33d35f,1354014.6
6e33d362,1263671.6
6e33d366,1559004.2
6e33d368,1362821.0
6e33d36e,1504917.2
6e33d371,1432157.8
6e33d376,1091553.9
6e33d37c,1352884.1
6e33d381,1362570.0
6e33d383,1354894.8
6e33d388,1266398.7
6e33d38b,1207228.3
6e33d38d,1508010.1
6e33d38f,952206.8
6e33d393,1429395.3
6e33d399,1266112.8
6e33d39d,1477215.1
6e33d3a2,1481483.4
6e33d3a7,1391697.0
6e33d3ab,975188.6
6e33d3af,1266655.0
6e33d3b5,1043757.2
6e33d3bb,1287599.4
6e33d3be,1061449.9
6e33d3c2,1457887.8
6e33d3c6,1433555.9
6e33d3ca,1086146.6
6e33d3cf,1129038.6
6e33d3d2,1376468.5
6e33d3d8,1437942.2
6e33d3de,1394137.5
6e33d3e0,1523151.4
6e33d3e6,1297850.8
6e33d3e8,1495514.5
6e33d3ee,1470978.9
6e33d3f0,1371818.3
6e33d3f3,1409494.1
6e33d3f5,1284696.2
6e33d3f7,1507771.0
6e33d3fd,1251046.0
6e33d402,1148992.7
6e33d405,1250523.3
6e33d408,1558275.7
6e33d40a,1502823.6
6e33d40c,1333562.2
6e33d40f,1468082.6
6e33d413,1306798.5
6e33d416,1375622.3
6e33d419,1343860.0
6e33d41f,1306964.7
6e33d424,1533738.6
6e33d429,1515786.1
6e33d42f,1336790.9
6e33d433,1414766.7
6e33d439,1218745.4
6e33d43d,1268286.2
6e33d441,1230026.4
6e33d443,1116495.6
6e33d445,1447498.6
6e33d449,1281058.1
6e33d44c,1262141.1
6e33d450,1223627.1
6e33d456,1254345.9
6e33d45b,1571106.7
6e33d45f,1406058.0
6e33d461,1205097.4
6e33d466,1265987.5
6e33d46c,1186345.2
6e33d46f,1161574.2
6e33d471,1272677.9
6e33d473,1262086.3
6e33d478,1136995.2
6e33d47c,1421052.9
6e33d47e,1354972.6
6e33d482,1287844.2
6e33d486,1413455.5
6e33d489,1349219.7
6e33d48d,1394191.4
6e33d48f,1279506.7
6e33d491,1438838.5
6e33d496,1188839.1
6e33d49b,1157794.1
6e33d4a1,1402976.8
6e33d4a7,1052782.6
6e33d4ad,1545541.6
6e33d4af,1381444.7
6e33d4b3,1152643.7
6e33d4b6,1219189.5
6e33d4bc,1077979.4
6e33d4c0,1418801.5
6e33d4c4,1215272.4
6e33d4c9,1163626.9
6e33d4cd,898857.1
6e33d4d0,1200382.6
6e33d4d6,1398627.7
6e33d4d8,1428901.8
6e33d4dd,1007521.9
6e33d4df,1406088.4
6e33d4e2,1286617.1
6e33d4e6,1527114.0
6e33d4eb,1422878.0
